Chromosome	Start	End	Methylated_allele	Name	Reference
chr15	45022590	45022746	Maternal	SORD	Hernandez,Joshi,Zink
chr15	50909603	50909875	Maternal	AP4E1	Zink
chr15	62344788	62345266	Paternal	MIR6085	Akbari
chr15	81118252	81118870	Paternal	CFAP161	Akbari
chr15	98865044	98867104	Maternal	IGF1R	Akbari,Court,Hernandez,Joshi,Zink
chr16	806879	808764	Maternal	PRR25	Akbari,Zink
chr16	817075	818443	Maternal	PRR25	Akbari,Zink
chr16	3254405	3254770	Paternal	MEFV	Zink
chr16	3295462	3295605	Maternal	TIGD7	Joshi
chr16	3364669	3366488	Paternal	MTRNR2L4,LA16c-306E5.2	Akbari,Joshi,Zink
chr16	3413769	3414262	Paternal	LA16c-306E5.2	Zink
chr16	3431450	3441713	Maternal	ZNF597,LA16c-306E5.2	Akbari,Court,Hernandez,Joshi,Zink
chr16	3442828	3444769	Paternal	NAA60,ZNF597,LA16c-306E5.2	Akbari,Court,Hernandez,Joshi,Zink
chr17	4900360	4902310	Maternal	CHRNE,C17orf107	Akbari,Zink
chr18	47667786	47668339	Maternal	RP11-767C4.1	Zink
chr18	59969604	59969915	Maternal	NFE2L3P1	Akbari
chr18	79616831	79617687	Maternal	AC068473.4	Akbari,Hernandez
chr18	80147168	80149255	Maternal	ADNP2,PARD6G-AS1	Akbari,Zink
chr19	4784658	4785523	Maternal	MIR7-3HG	Akbari
chr19	17323219	17324297	Maternal	DDA1	Akbari
chr19	21082090	21082829	Maternal	ZNF714	Akbari
chr19	36421856	36421978	Paternal	AC092296.3	Akbari
chr19	38527504	38528578	Maternal	RYR1,AC067969.1	Zink
chr19	38543705	38544472	Maternal	RYR1	Akbari,Zink
chr19	53536955	53539153	Maternal	ZNF331	Akbari,Court,Hernandez,Zink
chr19	53553367	53555638	Maternal	ZNF331	Akbari,Court,Hernandez,Zink
chr19	56837125	56841903	Maternal	PEG3,MIMT1,ZIM2,PEG3	Akbari,Court,Hernandez,Zink
chr19	56864809	56865037	Maternal	MIMT1	Zink
chr19	58055058	58055675	Paternal	ZSCAN1	Zink
chr2	37535774	37536371	Maternal	AC007391.3	Akbari
chr2	39243584	39244042	Maternal	MAP4K3	Hernandez
chr2	94871304	94872050	Paternal	TEKT4,AC097374.2	Zink
chr2	129587470	129587783	Paternal	LOC151121	Joshi
chr2	131300169	131300522	Maternal	FAR2P4,KLF2P4,PLEKHB2	Zink
chr2	131829505	131830210	Paternal	C2orf27B	Joshi
chr2	206249709	206274051	Paternal	ZDBF2,GPR1-AS	Akbari,Court,Hernandez,Joshi,Zink
chr2	206276199	206277222	Paternal	ZDBF2	Akbari
chr2	209208321	209209864	Maternal	MEAF6P1	Zink
chr2	232351651	232352102	Maternal	ECEL1P3	Akbari,Zink
chr20	31546686	31548526	Maternal	HM13,MCTS2P	Akbari,Court,Hernandez,Joshi,Zink
chr20	33667586	33668133	Maternal	ACTL10,NECAB3	Akbari
chr20	37519751	37522258	Maternal	BLCAP,NNAT	Akbari,Court,Hernandez,Joshi,Zink
chr20	43513365	43516205	Maternal	L3MBTL1	Akbari,Court,Hernandez,Joshi,Zink
chr20	48384392	48385349	Maternal	RP1-66N13.1	Akbari,Zink
chr20	58836210	58847396	Paternal	GNAS,GNAS-AS1	Akbari,Court,Hernandez,Joshi,Zink
chr20	58850116	58856591	Maternal	GNAS-AS1,GNAS,GNAS-XL	Akbari,Court,Hernandez,Joshi,Zink
chr20	58887966	58890443	Maternal	GNAS_Ex1A,GNAS,LOC101927932	Akbari,Court,Hernandez,Joshi,Zink
chr20	59526001	59526478	Maternal	RP11-164D18.2	Zink
chr20	63224686	63225146	Maternal	AL096828.3	Akbari
chr20	63938417	63939470	Maternal	UCKL1	Akbari,Zink
chr21	14063938	14064099	Maternal	LIPI	Joshi
chr21	39385480	39386798	Maternal	WRB	Akbari,Court,Hernandez,Joshi,Zink
chr21	46661115	46661858	Maternal	PRMT2	Akbari,Zink
chr22	18609252	18609916	Paternal	RIMBP3	Akbari
chr22	32043132	32043439	Maternal	SLC5A1	Akbari
chr22	41681557	41683816	Maternal	NHP2L1,SNU13	Akbari,Court,Hernandez,Joshi,Zink
chr3	39501848	39502946	Maternal	MOBP	Akbari,Hernandez,Zink
chr3	192571221	192571834	Maternal	FGF12	Akbari,Zink
chr4	6007986	6008636	Maternal	C4orf50	Akbari
chr4	6104931	6106089	Maternal	JAKMIP1	Akbari,Hernandez,Joshi,Zink
chr4	17641982	17642265	Maternal	FAM184B	Zink
chr4	88696886	88698218	Maternal	NAP1L5,HERC3	Akbari,Court,Hernandez,Joshi,Zink
chr4	121932219	121933181	Maternal	TRPC3	Akbari,Hernandez,Zink
chr4	154781458	154781987	Maternal	RBM46	Hernandez
chr4	169774376	169774935	Maternal	PTGES3P3	Akbari,Zink
chr5	563399	564627	Paternal	MIR4456	Akbari
chr5	37208771	37209484	Maternal	CPLANE1	Akbari
chr5	110726391	110727156	Maternal	TMEM232	Akbari
chr5	117455047	117455203	Maternal	LINC00992	Hernandez
chr5	136078784	136081177	Maternal	VTRNA2-1	Akbari,Hernandez,Joshi,Zink
chr5	137889215	137889522	Maternal	PKD2L2	Hernandez
chr5	138132931	138133533	Maternal	NME5	Akbari
chr6	3848512	3850223	Maternal	FAM50B,RP11-420L9.4	Akbari,Court,Hernandez,Joshi,Zink
chr6	29680602	29681316	Maternal	ZFP57	Hernandez
chr6	31571958	31572360	Maternal	LTA	Hernandez
chr6	144006708	144009025	Maternal	PLAGL1,HYMAI	Akbari,Court,Hernandez,Joshi,Zink
chr6	158938903	158939474	Paternal	RNU6-293P	Akbari
chr6	160005233	160006715	Maternal	IGF2R,AIRN	Akbari,Court,Hernandez,Joshi,Zink
chr6	168384674	168384845	Maternal	SMOC2	Joshi
chr6	169654367	169655912	Maternal	WDR27	Akbari,Court,Hernandez,Joshi,Zink
chr7	16850625	16851672	Maternal	RP11-455J15.1	Akbari,Zink
chr7	23490379	23491453	Maternal	RPS2P32	Akbari,Joshi,Zink
chr7	42856470	42857723	Maternal	AC010132.10	Akbari,Zink
chr7	50781029	50783615	Maternal	GRB10	Akbari,Court,Hernandez,Joshi,Zink
chr7	63926276	63926437	Maternal	AC092634.8	Akbari
chr7	94656189	94658980	Maternal	PEG10,SGCE	Akbari,Court,Hernandez,Joshi
chr7	130489758	130494547	Maternal	MEST,MESTIT1	Akbari,Court,Hernandez,Joshi,Zink
chr7	134831752	134832178	Maternal	CALD1	Zink
chr7	138663807	138665288	Maternal	SVOPL	Akbari,Hernandez,Joshi,Zink
chr7	155070814	155072164	Maternal	HTR5A,HTR5A-AS1	Akbari,Court,Hernandez,Joshi,Zink
chr8	2727694	2728686	Maternal	LOC101927815	Joshi
chr8	2733559	2733944	Maternal	LOC101927815	Akbari,Joshi
chr8	37747433	37748664	Maternal	ERLIN2,LOC728024,CXORF56_pseudogene	Akbari,Court,Hernandez,Joshi
chr8	39314503	39314602	Maternal	ADAM5P	Hernandez
chr8	60713696	60714534	Maternal	CHD7	Akbari,Joshi,Zink
chr8	94119077	94120749	Maternal	CDH17	Akbari,Zink
chr8	102527935	102530021	Maternal	KB-1980E6.3	Akbari,Zink
chr8	140097560	140101293	Maternal	TRAPPC9,PEG13	Akbari,Court,Hernandez,Joshi,Zink
chr8	140349118	140349831	Maternal	TRAPPC9	Akbari,Joshi
chr8	143727780	143728612	Maternal	FAM83H	Akbari
chr9	41354506	41354931	Maternal	CDRT15P6	Akbari
chr9	92098038	92098440	Maternal	SPTLC1	Akbari
chr9	95312864	95313633	Maternal	FANCC,FANCC_Int1-DMR	Akbari,Hernandez
chr9	97574899	97575448	Maternal	TMOD1	Akbari
chr9	113088975	113090248	Maternal	AL449105.5	Hernandez
chr9	122225974	122226688	Maternal	LHX6	Akbari
chr9	137416835	137418575	Maternal	EXD3	Akbari,Zink
